                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1348,                 2.7899,                 1.4269,                0.61243,                0.89664,                0.88779,                0.62643,                 1.4012,                 1.3303,                 1.2514,                    0.1,                      0,                      0
                      1,                0.93622,                 2.1119,                 1.3118,                0.55995,                0.83333,                 0.8739,                0.61256,                 1.4297,                 1.3507,                 1.2644,               0.099099,              9.901e-05,              9.901e-05
